|  25 | nguyenki_betau1 | 10.10.10.59:47221 | nguyenki_beta | Query   |   35 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 3194 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
|  53 | nguyenki_betau1 | 10.10.10.59:47277 | nguyenki_beta | Query   |   31 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 7225 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
|  81 | nguyenki_betau1 | 10.10.10.59:47333 | nguyenki_beta | Query   |   28 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 3721 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 100 | nguyenki_betau1 | 10.10.10.59:47364 | nguyenki_beta | Query   |   26 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 503 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 122 | nguyenki_betau1 | 10.10.10.59:47402 | nguyenki_beta | Query   |   23 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 8262 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 147 | nguyenki_betau1 | 10.10.10.59:47440 | nguyenki_beta | Query   |   20 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 3133 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 212 | nguyenki_betau1 | 10.10.10.59:47534 | nguyenki_beta | Query   |   12 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 1652 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 213 | nguyenki_betau1 | 10.10.10.59:47536 | nguyenki_beta | Query   |   12 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 10443 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 259 | nguyenki_betau1 | 10.10.10.59:47609 | nguyenki_beta | Query   |    6 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 2783 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 269 | nguyenki_betau1 | 10.10.10.59:47622 | nguyenki_beta | Query   |    5 | Copying to tmp table                                                  | SELECT cscart_product_feature_variant_descriptions.*, cscart_product_feature_variants.*, cscart_product_features_values.variant_id as selected, cscart_product_features.feature_type, cscart_seo_names.name as seo_name FROM cscart_product_feature_variants  LEFT JOIN cscart_product_feature_variant_descriptions ON cscart_product_feature_variant_descriptions.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_feature_variant_descriptions.lang_code = 'VN' LEFT JOIN cscart_product_features_values ON cscart_product_features_values.variant_id = cscart_product_feature_variants.variant_id AND cscart_product_features_values.lang_code = 'VN' AND cscart_product_features_values.product_id = 3194 LEFT JOIN cscart_product_features ON cscart_product_features.feature_id = cscart_product_feature_variants.feature_id LEFT JOIN cscart_seo_names ON cscart_seo_names.object_id = cscart_product_feature_variants.variant_id AND cscart_seo_names.type = 'e' AND cscart_seo_names.dispatch = '' AND cscart_seo_names.lang_code = 'VN' WHERE 1  AND cscart_product_feature_variants.feature_id IN ('596')  GROUP BY cscart_product_feature_variants.variant_id ORDER BY cscart_product_feature_variants.position, cscart_product_feature_variant_descriptions.variant | 
| 275 | root            | localhost         | NULL          | Query   |    0 | NULL                                                                  | show full processlist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 
